"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"陈东璧"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"陈信安"	1	0	0	0	0	0.216	0.121	0.179	0.423	0.061	0.665	-0.056	-0.086	-0.239	-0.027	1.073	"1"
"陈明通"	1	0	0	0	0	0.216	0.121	0.179	0.423	0.061	0.665	-0.056	-0.086	-0.239	-0.027	1.073	"1"
"降低"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"院长"	3	0	0	0	0	0.648	0.362	0.538	1.269	0.183	1.996	-0.167	-0.257	-0.716	-0.082	3.218	"1"
"除去"	0	0	1	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	0.747	-0.239	-0.027	1.175	"3"
"随着"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"随行"	0	1	0	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	0.919	-0.086	-0.239	-0.027	1.377	"2"
"隐喻"	0	1	0	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	0.919	-0.086	-0.239	-0.027	1.377	"2"
"隐瞒"	0	1	0	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	0.919	-0.086	-0.239	-0.027	1.377	"2"
"隔离者"	0	0	2	0	0	0.432	0.241	0.359	0.846	0.122	-0.211	-0.112	1.493	-0.478	-0.055	2.349	"3"
"难保"	0	1	0	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	0.919	-0.086	-0.239	-0.027	1.377	"2"
"难民"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"需"	0	0	1	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	0.747	-0.239	-0.027	1.175	"3"
"霸主"	0	0	0	4	0	0.864	0.483	0.717	1.692	0.244	-0.423	-0.223	-0.343	1.495	-0.109	2.593	"4"
"霸权"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"非"	2	0	1	0	0	0.648	0.362	0.538	1.269	0.183	0.921	-0.167	0.35	-0.716	-0.082	2.236	"1"
"非公有制"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"非正式"	1	0	0	0	0	0.216	0.121	0.179	0.423	0.061	0.665	-0.056	-0.086	-0.239	-0.027	1.073	"1"
"非法"	0	0	1	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	0.747	-0.239	-0.027	1.175	"3"
"韩国人"	1	0	0	0	0	0.216	0.121	0.179	0.423	0.061	0.665	-0.056	-0.086	-0.239	-0.027	1.073	"1"
"韩美"	0	0	0	2	0	0.432	0.241	0.359	0.846	0.122	-0.211	-0.112	-0.172	0.747	-0.055	1.297	"4"
"顾问"	2	0	0	0	0	0.432	0.241	0.359	0.846	0.122	1.331	-0.112	-0.172	-0.478	-0.055	2.148	"1"
"领"	0	0	0	0	1	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	-0.239	1.214	1.701	"5"
"领事"	0	0	1	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	0.747	-0.239	-0.027	1.175	"3"
"领先"	0	0	0	0	18	3.89	2.172	3.227	7.613	1.099	-1.903	-1.005	-1.544	-4.298	21.858	30.608	"5"
"领域"	0	0	0	3	0	0.648	0.362	0.538	1.269	0.183	-0.317	-0.167	-0.257	1.121	-0.082	1.944	"4"
"领域处"	0	0	0	0	1	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	-0.239	1.214	1.701	"5"
"领头"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"领导"	0	0	0	6	0	1.297	0.724	1.076	2.538	0.366	-0.634	-0.335	-0.515	2.242	-0.164	3.89	"4"
"领导性"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"领袖"	3	0	0	0	0	0.648	0.362	0.538	1.269	0.183	1.996	-0.167	-0.257	-0.716	-0.082	3.218	"1"
"飙车"	0	0	1	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	0.747	-0.239	-0.027	1.175	"3"
"饥饿"	1	0	0	0	0	0.216	0.121	0.179	0.423	0.061	0.665	-0.056	-0.086	-0.239	-0.027	1.073	"1"
"饶颖奇"	0	1	0	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	0.919	-0.086	-0.239	-0.027	1.377	"2"
"首要"	0	1	0	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	0.919	-0.086	-0.239	-0.027	1.377	"2"
"首长"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"马哈迪"	1	0	0	0	0	0.216	0.121	0.179	0.423	0.061	0.665	-0.056	-0.086	-0.239	-0.027	1.073	"1"
"马拉威"	1	0	0	0	0	0.216	0.121	0.179	0.423	0.061	0.665	-0.056	-0.086	-0.239	-0.027	1.073	"1"
"马永成"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"驻吉"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"驻韩"	0	0	0	2	0	0.432	0.241	0.359	0.846	0.122	-0.211	-0.112	-0.172	0.747	-0.055	1.297	"4"
