"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"化解"	0	0	0	2	0	0	0	0	0.058	0.366	0.037	0.258	0.468	0.285	0.249	0.278	-0.026	-0.176	-0.016	1.778	-0.231	-0.134	-0.116	-0.13	2.607	"4"
"北京市"	0	1	0	0	0	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	0.738	-0.008	-0.06	-0.116	-0.067	-0.058	-0.065	1.125	"2"
"北南"	0	0	0	0	0	0	0	1	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	-0.067	-0.058	0.857	1.267	"8"
"北宁市"	0	1	0	0	0	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	0.738	-0.008	-0.06	-0.116	-0.067	-0.058	-0.065	1.125	"2"
"北洋军阀"	0	0	0	0	0	0	0	1	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	-0.067	-0.058	0.857	1.267	"8"
"北韩"	0	0	0	0	0	0	0	2	0.058	0.366	0.037	0.258	0.468	0.285	0.249	0.278	-0.026	-0.176	-0.016	-0.12	-0.231	-0.134	-0.116	1.714	2.533	"8"
"匪党"	0	0	0	0	0	1	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	0.845	-0.058	-0.065	1.253	"6"
"十一"	0	0	0	1	0	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	0.889	-0.116	-0.067	-0.058	-0.065	1.304	"4"
"十一日电"	0	0	0	1	0	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	0.889	-0.116	-0.067	-0.058	-0.065	1.304	"4"
"十一月"	0	0	0	0	0	0	1	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	-0.067	0.905	-0.065	1.322	"7"
"千"	0	0	0	0	0	0	2	0	0.058	0.366	0.037	0.258	0.468	0.285	0.249	0.278	-0.026	-0.176	-0.016	-0.12	-0.231	-0.134	1.809	-0.13	2.642	"7"
"午餐会"	0	0	0	0	0	0	1	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	-0.067	0.905	-0.065	1.322	"7"
"半岛"	0	0	0	0	0	0	0	1	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	-0.067	-0.058	0.857	1.267	"8"
"华府"	0	0	0	1	0	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	0.889	-0.116	-0.067	-0.058	-0.065	1.304	"4"
"协力"	0	1	0	0	0	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	0.738	-0.008	-0.06	-0.116	-0.067	-0.058	-0.065	1.125	"2"
"协同"	0	0	0	0	1	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	0.631	-0.067	-0.058	-0.065	0.99	"5"
"协议"	0	0	0	0	0	0	1	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	-0.067	0.905	-0.065	1.322	"7"
"协调"	1	1	0	0	0	0	0	0	0.058	0.366	0.037	0.258	0.468	0.285	0.249	0.278	1.239	0.478	-0.016	-0.12	-0.231	-0.134	-0.116	-0.13	2.464	"1"
"卓越"	0	0	0	0	1	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	0.631	-0.067	-0.058	-0.065	0.99	"5"
"单位"	0	2	0	0	0	0	0	0	0.058	0.366	0.037	0.258	0.468	0.285	0.249	0.278	-0.026	1.475	-0.016	-0.12	-0.231	-0.134	-0.116	-0.13	2.248	"2"
"南共体"	0	0	0	0	0	0	3	0	0.088	0.549	0.056	0.387	0.702	0.428	0.374	0.417	-0.039	-0.263	-0.024	-0.18	-0.347	-0.201	2.714	-0.195	3.963	"7"
"南北"	0	0	0	0	0	0	1	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	-0.067	0.905	-0.065	1.322	"7"
"南北韩"	0	0	0	0	0	0	1	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	-0.067	0.905	-0.065	1.322	"7"
