"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"5\""	"6"	"7"	"8"	"9"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_5\""	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_5\""	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"SumAbsDev"	"LargestDev"
"百事可乐"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"百分之三"	0	0	1	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	1.145	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.589	"3"
"百分之二十四"	0	0	1	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	1.145	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.589	"3"
"百分之六十"	0	1	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	1.138	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.581	"2"
"百分之六十五"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"百分之四十九"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"监护人"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"目睹"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"相仿"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"相谈"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
