"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"台铁"	0	3	0	0	0	0	0.233	0.606	0.29	0.468	0.658	0.745	-0.105	2.084	-0.133	-0.221	-0.323	-0.372	3.238	"2"
"台湾高"	0	0	0	1	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	0.807	-0.108	-0.124	1.216	"4"
"台湾人"	0	1	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	0.695	-0.044	-0.074	-0.108	-0.124	1.08	"2"
"台湾省"	0	0	0	1	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	0.807	-0.108	-0.124	1.216	"4"
"太平"	0	0	0	0	1	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	0.659	-0.124	1.034	"5"
"泰山"	0	0	0	1	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	0.807	-0.108	-0.124	1.216	"4"
"堂费"	0	1	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	0.695	-0.044	-0.074	-0.108	-0.124	1.08	"2"
"逃税"	0	0	0	1	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	0.807	-0.108	-0.124	1.216	"4"
"提高"	0	0	0	0	0	5	0.388	1.01	0.483	0.781	1.097	1.241	-0.175	-0.49	-0.221	-0.369	-0.538	3.026	4.819	"6"
"体认"	0	0	0	0	1	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	0.659	-0.124	1.034	"5"
"体现"	0	1	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	0.695	-0.044	-0.074	-0.108	-0.124	1.08	"2"
"体总"	0	1	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	0.695	-0.044	-0.074	-0.108	-0.124	1.08	"2"
"替"	0	1	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	0.695	-0.044	-0.074	-0.108	-0.124	1.08	"2"
"天然气"	0	0	0	4	0	0	0.31	0.808	0.387	0.624	0.878	0.993	-0.14	-0.392	-0.177	3.226	-0.43	-0.496	4.861	"4"
"天天"	0	0	0	0	1	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	0.659	-0.124	1.034	"5"
"天维康"	0	0	0	1	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	0.807	-0.108	-0.124	1.216	"4"
"跳板"	0	0	0	0	1	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	0.659	-0.124	1.034	"5"
"铁路"	0	0	0	1	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	0.807	-0.108	-0.124	1.216	"4"
"铁总"	0	0	0	0	0	1	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	-0.108	0.605	0.964	"6"
"停牌"	0	0	0	0	1	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	0.659	-0.124	1.034	"5"
"通过"	0	0	0	0	2	0	0.155	0.404	0.193	0.312	0.439	0.496	-0.07	-0.196	-0.088	-0.147	1.317	-0.248	2.066	"5"
"通勤"	0	1	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	0.695	-0.044	-0.074	-0.108	-0.124	1.08	"2"
"通信"	0	0	0	1	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	0.807	-0.108	-0.124	1.216	"4"
"通讯"	0	0	0	0	3	0	0.233	0.606	0.29	0.468	0.658	0.745	-0.105	-0.294	-0.133	-0.221	1.976	-0.372	3.101	"5"
"同"	0	0	0	0	0	7	0.543	1.414	0.677	1.093	1.536	1.737	-0.245	-0.686	-0.309	-0.516	-0.753	4.237	6.746	"6"
"同胞"	1	1	0	0	0	0	0.155	0.404	0.193	0.312	0.439	0.496	0.827	0.44	-0.088	-0.147	-0.215	-0.248	1.965	"1"
"同期"	0	0	0	0	0	2	0.155	0.404	0.193	0.312	0.439	0.496	-0.07	-0.196	-0.088	-0.147	-0.215	1.21	1.926	"6"
"童"	1	0	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	1.11	-0.098	-0.044	-0.074	-0.108	-0.124	1.558	"1"
"童妓"	0	1	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	0.695	-0.044	-0.074	-0.108	-0.124	1.08	"2"
"投诉"	1	1	0	0	0	0	0.155	0.404	0.193	0.312	0.439	0.496	0.827	0.44	-0.088	-0.147	-0.215	-0.248	1.965	"1"
"投资"	2	2	2	8	14	6	2.637	6.867	3.288	5.308	7.462	8.438	-0.299	-1.673	-0.458	0.824	2.039	-0.647	5.94	"5"
"投资人"	0	2	1	0	0	0	0.233	0.606	0.29	0.468	0.658	0.745	-0.105	0.975	0.58	-0.221	-0.323	-0.372	2.576	"2"
"图表"	0	0	0	0	0	2	0.155	0.404	0.193	0.312	0.439	0.496	-0.07	-0.196	-0.088	-0.147	-0.215	1.21	1.926	"6"
"途径"	0	1	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	0.695	-0.044	-0.074	-0.108	-0.124	1.08	"2"
"土生"	0	1	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	0.695	-0.044	-0.074	-0.108	-0.124	1.08	"2"
"团"	0	0	0	0	1	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	0.659	-0.124	1.034	"5"
"团结"	0	1	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	0.695	-0.044	-0.074	-0.108	-0.124	1.08	"2"
"推动力"	0	0	0	0	0	1	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	-0.108	0.605	0.964	"6"
"囤积"	0	1	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	0.695	-0.044	-0.074	-0.108	-0.124	1.08	"2"
"拖吊"	0	0	1	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	1.015	-0.074	-0.108	-0.124	1.454	"3"
"妥善"	0	2	0	0	0	0	0.155	0.404	0.193	0.312	0.439	0.496	-0.07	1.389	-0.088	-0.147	-0.215	-0.248	2.157	"2"
"外商"	2	0	0	0	0	0	0.155	0.404	0.193	0.312	0.439	0.496	2.221	-0.196	-0.088	-0.147	-0.215	-0.248	3.115	"1"
"外资"	0	0	0	0	1	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	0.659	-0.124	1.034	"5"
"湾"	0	1	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	0.695	-0.044	-0.074	-0.108	-0.124	1.08	"2"
"挽救"	0	1	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	0.695	-0.044	-0.074	-0.108	-0.124	1.08	"2"
"万"	0	0	0	0	0	1	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	-0.108	0.605	0.964	"6"
"万华"	0	0	0	1	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	0.807	-0.108	-0.124	1.216	"4"
"万力"	0	0	0	1	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	0.807	-0.108	-0.124	1.216	"4"
"王苹"	0	1	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	0.695	-0.044	-0.074	-0.108	-0.124	1.08	"2"
"网易"	0	0	0	0	0	2	0.155	0.404	0.193	0.312	0.439	0.496	-0.07	-0.196	-0.088	-0.147	-0.215	1.21	1.926	"6"
