"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"SumAbsDev"	"LargestDev"
"税费"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"稽查"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"空气"	0	0	0	0	1	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	0.837	-0.031	-0.024	1.26	"5"
"突破"	0	0	0	1	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	0.707	-0.068	-0.031	-0.024	1.103	"4"
"立基"	0	0	0	1	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	0.707	-0.068	-0.031	-0.024	1.103	"4"
"立委"	0	0	3	0	0	0	0	0.292	0.261	1.053	0.588	0.437	0.207	0.161	-0.134	-0.119	1.364	-0.284	-0.205	-0.093	-0.072	2.271	"3"
"立法"	0	0	2	0	0	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	-0.079	0.909	-0.19	-0.137	-0.062	-0.048	1.514	"3"
"立法院"	0	0	4	0	0	0	0	0.39	0.348	1.404	0.785	0.583	0.276	0.214	-0.178	-0.158	1.819	-0.379	-0.274	-0.124	-0.096	3.028	"3"
"立法院长"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"竞争力"	0	0	0	2	0	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	-0.079	-0.376	1.415	-0.137	-0.062	-0.048	2.206	"4"
"竹科"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"第"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"第13"	0	0	0	0	3	0	0	0.292	0.261	1.053	0.588	0.437	0.207	0.161	-0.134	-0.119	-0.563	-0.284	2.51	-0.093	-0.072	3.775	"5"
"第九"	1	0	0	1	0	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	0.732	-0.079	-0.376	0.451	-0.137	-0.062	-0.048	1.885	"1"
"第二"	0	1	0	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	1.06	-0.188	-0.095	-0.068	-0.031	-0.024	1.511	"2"
"第五"	0	0	0	0	1	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	0.837	-0.031	-0.024	1.26	"5"
"第六"	0	0	1	1	0	1	1	0.39	0.348	1.404	0.785	0.583	0.276	0.214	-0.178	-0.158	-0.251	0.235	-0.274	0.604	0.704	2.404	"7"
"答问"	0	0	0	0	1	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	0.837	-0.031	-0.024	1.26	"5"
"筹备"	1	1	0	1	1	0	0	0.39	0.348	1.404	0.785	0.583	0.276	0.214	0.473	0.515	-0.751	0.235	0.33	-0.124	-0.096	2.524	"3"
"简"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"简介"	0	0	0	0	0	0	1	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	-0.068	-0.031	1.271	1.738	"7"
"简钖"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"篇"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"粤台"	1	0	1	0	0	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	0.732	-0.079	0.237	-0.19	-0.137	-0.062	-0.048	1.485	"1"
"粤港"	1	0	0	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	1.011	-0.04	-0.188	-0.095	-0.068	-0.031	-0.024	1.457	"1"
"系列"	0	0	1	3	1	0	0	0.487	0.435	1.755	0.981	0.728	0.345	0.268	-0.223	-0.198	-0.37	1.26	0.264	-0.155	-0.12	2.59	"4"
"约旦"	0	1	1	0	0	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	0.779	0.237	-0.19	-0.137	-0.062	-0.048	1.542	"2"
"纪念"	0	5	1	0	0	2	0	0.78	0.696	2.808	1.569	1.166	0.553	0.429	-0.356	3.651	-0.776	-0.759	-0.547	0.995	-0.191	7.275	"2"
"纪念品"	0	0	0	1	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	0.707	-0.068	-0.031	-0.024	1.103	"4"
"纪念馆"	0	0	0	0	0	2	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	-0.079	-0.376	-0.19	-0.137	2.322	-0.048	3.241	"6"
"纪行"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"纲要"	0	0	3	0	0	0	0	0.292	0.261	1.053	0.588	0.437	0.207	0.161	-0.134	-0.119	1.364	-0.284	-0.205	-0.093	-0.072	2.271	"3"
"纷纷"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"组织"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"经合"	6	0	2	0	0	0	0	0.78	0.696	2.808	1.569	1.166	0.553	0.429	4.696	-0.316	-0.371	-0.759	-0.547	-0.249	-0.191	7.129	"1"
"经济"	7	1	5	5	2	0	0	1.949	1.741	7.02	3.923	2.914	1.381	1.072	2.687	-0.328	-0.615	0.451	-0.37	-0.622	-0.479	5.552	"1"
"经济特区"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"经济界"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"经营"	0	0	0	1	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	0.707	-0.068	-0.031	-0.024	1.103	"4"
"经贸"	2	0	1	3	0	0	2	0.78	0.696	2.808	1.569	1.166	0.553	0.429	0.746	-0.316	-0.776	0.711	-0.547	-0.249	1.188	4.533	"7"
"经验"	0	2	1	0	0	1	0	0.39	0.348	1.404	0.785	0.583	0.276	0.214	-0.178	1.394	-0.251	-0.379	-0.274	0.604	-0.096	3.176	"2"
"结合"	0	0	0	3	0	0	0	0.292	0.261	1.053	0.588	0.437	0.207	0.161	-0.134	-0.119	-0.563	2.122	-0.205	-0.093	-0.072	3.308	"4"
"结束"	0	0	1	0	1	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	-0.079	0.237	-0.19	0.568	-0.062	-0.048	1.273	"5"
"绕道"	0	0	0	0	1	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	0.837	-0.031	-0.024	1.26	"5"
"统一"	0	1	0	0	1	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	0.779	-0.376	-0.19	0.568	-0.062	-0.048	2.112	"2"
"统促会"	0	0	0	0	2	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	-0.079	-0.376	-0.19	1.673	-0.062	-0.048	2.517	"5"
"统战部"	0	0	2	0	0	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	-0.079	0.909	-0.19	-0.137	-0.062	-0.048	1.514	"3"
"缅怀"	0	1	0	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	1.06	-0.188	-0.095	-0.068	-0.031	-0.024	1.511	"2"
"网"	0	0	0	0	3	0	0	0.292	0.261	1.053	0.588	0.437	0.207	0.161	-0.134	-0.119	-0.563	-0.284	2.51	-0.093	-0.072	3.775	"5"
"罗智光"	0	0	1	1	0	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	-0.079	0.237	0.451	-0.137	-0.062	-0.048	1.103	"4"
"罢免"	0	1	0	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	1.06	-0.188	-0.095	-0.068	-0.031	-0.024	1.511	"2"
"美商"	0	0	0	1	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	0.707	-0.068	-0.031	-0.024	1.103	"4"
