"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"SumAbsDev"	"LargestDev"
"买春"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"乾隆"	0	0	2	0	0	0	0	0	0	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	-0.046	-0.091	1.068	-0.024	-0.112	-0.023	-0.211	-0.019	-0.136	1.73	"3"
"了"	0	0	4	0	0	0	0	1	0	0.258	0.496	1.462	0.135	0.604	0.13	1.078	0.11	0.725	-0.115	-0.227	1.553	-0.06	-0.28	-0.057	-0.527	0.976	-0.34	4.135	"3"
"争"	0	0	0	0	0	0	0	0	1	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	-0.105	-0.01	0.839	1.251	"9"
"二十一世纪"	0	0	0	0	0	0	4	0	0	0.207	0.397	1.17	0.108	0.483	0.104	0.863	0.088	0.58	-0.092	-0.182	-0.601	-0.048	-0.224	-0.046	2.665	-0.039	-0.272	4.169	"7"
"二千三百九十三亿二千万"	0	0	0	0	0	0	0	1	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	-0.105	1.656	-0.068	2.126	"8"
"二战"	0	0	2	0	0	0	0	0	0	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	-0.046	-0.091	1.068	-0.024	-0.112	-0.023	-0.211	-0.019	-0.136	1.73	"3"
"二次大战"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"互惠"	0	0	0	0	0	0	1	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	0.666	-0.01	-0.068	1.041	"7"
"互联网"	0	0	0	0	1	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	0.918	-0.011	-0.105	-0.01	-0.068	1.342	"5"
"五十九年"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"交替"	0	0	0	0	0	0	1	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	0.666	-0.01	-0.068	1.041	"7"
"交汇"	0	0	0	0	0	0	1	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	0.666	-0.01	-0.068	1.041	"7"
"交融"	0	1	0	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	1.003	-0.15	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	1.438	"2"
"产业面"	0	0	0	0	0	0	1	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	0.666	-0.01	-0.068	1.041	"7"
"产物"	0	0	2	0	0	0	0	0	0	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	-0.046	-0.091	1.068	-0.024	-0.112	-0.023	-0.211	-0.019	-0.136	1.73	"3"
