"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"制定出"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"制度"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"前景"	0	5	0	0	0	0	0.256	1.557	0.244	2.515	0.229	0.2	-0.114	2.533	-0.108	-1.518	-0.102	-0.089	4.464	"2"
"前途"	0	2	0	0	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	1.013	-0.043	-0.607	-0.041	-0.035	1.785	"2"
"办校"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"加籐"	0	0	0	2	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	-0.324	-0.043	0.597	-0.041	-0.035	1.086	"4"
"劳委会"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"劳工"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"劳方"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"勇敢"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"包润石"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"包道格"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"匈奴"	0	0	1	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	1.312	-0.304	-0.02	-0.018	1.839	"3"
