"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"伊朗"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"优"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"优秀"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"会"	0	1	2	0	0	0.308	1.124	1.037	0.159	0.372	-0.141	-0.165	0.559	-0.071	-0.172	1.108	"3"
"会见"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"传"	0	2	0	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	0.853	-0.368	-0.047	-0.115	1.477	"2"
"传出"	0	9	0	0	0	0.925	3.372	3.111	0.477	1.115	-0.424	3.838	-1.658	-0.213	-0.517	6.65	"2"
"传媒"	0	2	0	1	1	0.411	1.499	1.383	0.212	0.496	-0.188	0.318	-0.737	0.708	0.386	2.337	"3"
"传播"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"传来"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"传电"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"传真社"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"传至"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"传记"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"传达"	0	2	0	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	0.853	-0.368	-0.047	-0.115	1.477	"2"
"传递"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"伦敦"	0	2	0	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	0.853	-0.368	-0.047	-0.115	1.477	"2"
"伦斯斐"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"伦理"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"位于"	0	0	1	0	1	0.206	0.749	0.691	0.106	0.248	-0.094	-0.408	0.243	-0.047	0.634	1.426	"5"
"佐治亚州"	2	0	0	0	0	0.206	0.749	0.691	0.106	0.248	1.976	-0.408	-0.368	-0.047	-0.115	2.914	"1"
"体"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"体育局"	0	0	0	0	2	0.206	0.749	0.691	0.106	0.248	-0.094	-0.408	-0.368	-0.047	1.814	2.731	"5"
"何以"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"何盈"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
