"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"访俄"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"访华"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"访美"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"访问"	0	0	0	0	12	0.296	4.497	2.329	1.503	3.376	-0.13	-2.447	-1.124	-0.697	6.61	11.008	"5"
"评论员"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"试烧"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"试用"	0	2	0	0	0	0.049	0.749	0.388	0.251	0.563	-0.022	0.853	-0.187	-0.116	-0.287	1.465	"2"
"试验"	0	5	0	0	0	0.123	1.874	0.97	0.626	1.407	-0.054	2.131	-0.468	-0.291	-0.717	3.661	"2"
"诫系"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"调"	0	0	0	1	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	0.902	-0.143	1.354	"4"
"调整"	0	1	0	2	0	0.074	1.124	0.582	0.376	0.844	-0.033	-0.165	-0.281	1.365	-0.43	2.274	"4"
"调降为"	0	0	0	2	0	0.049	0.749	0.388	0.251	0.563	-0.022	-0.408	-0.187	1.804	-0.287	2.708	"4"
"谱写"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"豪赌"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"贝利"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"贡献力"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"质押股"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"贮"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"贴住"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"费雪"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"贻害"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"资信"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"资格"	0	1	0	1	0	0.049	0.749	0.388	0.251	0.563	-0.022	0.215	-0.187	0.629	-0.287	1.34	"4"
"资讯"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"赛"	0	0	0	2	0	0.049	0.749	0.388	0.251	0.563	-0.022	-0.408	-0.187	1.804	-0.287	2.708	"4"
"赛事"	0	0	0	1	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	0.902	-0.143	1.354	"4"
"赞叹"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"赞扬"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"走"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"赵丽云"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"赶上"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"起点"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"起飞"	0	2	0	0	0	0.049	0.749	0.388	0.251	0.563	-0.022	0.853	-0.187	-0.116	-0.287	1.465	"2"
"趁"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"超买"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"超越"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"趋"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"趋势"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"足球赛"	0	0	0	1	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	0.902	-0.143	1.354	"4"
"跆拳道"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"距"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"路线"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"踏步"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"踢"	0	0	0	1	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	0.902	-0.143	1.354	"4"
"蹂躏"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"车潮"	1	0	0	0	0	0.025	0.375	0.194	0.125	0.281	1.608	-0.204	-0.094	-0.058	-0.143	2.107	"1"
"车阵"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"轮"	0	0	0	1	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	0.902	-0.143	1.354	"4"
"轮值"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"轰炸"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"载体"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"较"	0	2	0	0	0	0.049	0.749	0.388	0.251	0.563	-0.022	0.853	-0.187	-0.116	-0.287	1.465	"2"
"较量"	0	0	0	2	0	0.049	0.749	0.388	0.251	0.563	-0.022	-0.408	-0.187	1.804	-0.287	2.708	"4"
"辉煌"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"过去"	0	2	0	0	1	0.074	1.124	0.582	0.376	0.844	-0.033	0.5	-0.281	-0.174	0.201	1.189	"2"
"过年"	0	0	4	0	0	0.099	1.499	0.776	0.501	1.125	-0.043	-0.816	2.848	-0.232	-0.574	4.513	"3"
"过渡"	0	0	0	0	3	0.074	1.124	0.582	0.376	0.844	-0.033	-0.612	-0.281	-0.174	1.652	2.752	"5"
"过激"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"过节"	1	0	0	0	0	0.025	0.375	0.194	0.125	0.281	1.608	-0.204	-0.094	-0.058	-0.143	2.107	"1"
"迈入"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"迈向"	0	2	0	0	0	0.049	0.749	0.388	0.251	0.563	-0.022	0.853	-0.187	-0.116	-0.287	1.465	"2"
"迎"	0	2	0	0	0	0.049	0.749	0.388	0.251	0.563	-0.022	0.853	-0.187	-0.116	-0.287	1.465	"2"
"迎接"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"运行"	0	2	0	0	0	0.049	0.749	0.388	0.251	0.563	-0.022	0.853	-0.187	-0.116	-0.287	1.465	"2"
"运走"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"运输"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"运送"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"近"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"返乡"	1	0	0	0	0	0.025	0.375	0.194	0.125	0.281	1.608	-0.204	-0.094	-0.058	-0.143	2.107	"1"
"进"	0	3	0	0	0	0.074	1.124	0.582	0.376	0.844	-0.033	1.279	-0.281	-0.174	-0.43	2.197	"2"
"进入"	0	19	1	2	0	0.542	8.244	4.269	2.756	6.189	-0.238	5.484	-1.262	-0.33	-3.156	10.47	"2"
"进步"	0	3	0	0	0	0.074	1.124	0.582	0.376	0.844	-0.033	1.279	-0.281	-0.174	-0.43	2.197	"2"
"进行"	0	1	0	6	0	0.172	2.623	1.358	0.877	1.969	-0.076	-0.712	-0.656	4.617	-1.004	7.065	"4"
"违令"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"连胜"	0	0	0	1	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	0.902	-0.143	1.354	"4"
"连萧"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"迪拜"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"追不上"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"适应"	0	3	0	0	0	0.074	1.124	0.582	0.376	0.844	-0.033	1.279	-0.281	-0.174	-0.43	2.197	"2"
"逃亡"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"逆转"	0	2	0	0	0	0.049	0.749	0.388	0.251	0.563	-0.022	0.853	-0.187	-0.116	-0.287	1.465	"2"
"选为"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"选举"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"选战"	0	2	0	0	0	0.049	0.749	0.388	0.251	0.563	-0.022	0.853	-0.187	-0.116	-0.287	1.465	"2"
"逐步"	0	0	0	1	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	0.902	-0.143	1.354	"4"
