"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"唐鹏"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"善于"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"喜人"	1	0	0	0	0.142	0.046	0.14	0.673	0.849	-0.02	-0.065	-0.485	1.419	"1"
"器官"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"回入"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"因"	0	0	0	6	0.85	0.276	0.838	4.036	-0.398	-0.123	-0.392	1.033	1.946	"4"
"因为"	0	0	0	4	0.567	0.184	0.559	2.691	-0.265	-0.082	-0.261	0.689	1.297	"4"
"因应"	0	1	0	2	0.425	0.138	0.419	2.018	-0.199	0.881	-0.196	-0.158	1.434	"2"
"因此"	0	0	0	6	0.85	0.276	0.838	4.036	-0.398	-0.123	-0.392	1.033	1.946	"4"
"因素"	1	0	0	6	0.991	0.322	0.978	4.709	0.183	-0.143	-0.457	0.561	1.344	"4"
"固有"	0	0	0	2	0.283	0.092	0.279	1.345	-0.133	-0.041	-0.131	0.344	0.649	"4"
"固然"	0	0	0	2	0.283	0.092	0.279	1.345	-0.133	-0.041	-0.131	0.344	0.649	"4"
"国人"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"国内"	1	0	0	5	0.85	0.276	0.838	4.036	0.222	-0.123	-0.392	0.44	1.177	"4"
"国号"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"国训"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"国际局势"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"图样"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"图案"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"圣战"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"地图"	0	0	2	0	0.283	0.092	0.279	1.345	-0.133	-0.041	1.71	-0.97	2.854	"3"
"地形"	0	0	0	2	0.283	0.092	0.279	1.345	-0.133	-0.041	-0.131	0.344	0.649	"4"
"地球"	0	1	1	0	0.283	0.092	0.279	1.345	-0.133	1.047	0.585	-0.97	2.735	"2"
"地缘"	1	0	1	0	0.283	0.092	0.279	1.345	0.58	-0.041	0.585	-0.97	2.176	"4"
"地质"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"场区"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"坍"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"坪村"	1	0	0	0	0.142	0.046	0.14	0.673	0.849	-0.02	-0.065	-0.485	1.419	"1"
"基因"	0	0	2	0	0.283	0.092	0.279	1.345	-0.133	-0.041	1.71	-0.97	2.854	"3"
"基本"	0	0	0	3	0.425	0.138	0.419	2.018	-0.199	-0.061	-0.196	0.516	0.972	"4"
"基本上"	1	0	0	0	0.142	0.046	0.14	0.673	0.849	-0.02	-0.065	-0.485	1.419	"1"
"基督教"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"堪虞"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"塌"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"处女座"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"复杂"	1	0	0	2	0.425	0.138	0.419	2.018	0.435	-0.061	-0.196	-0.158	0.85	"1"
"外在"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"外部"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"多"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"多事"	0	0	1	1	0.283	0.092	0.279	1.345	-0.133	-0.041	0.585	-0.262	1.021	"3"
