"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"SumAbsDev"	"LargestDev"
"一百六十万"	0	0	1	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	0.717	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.1	"3"
"一般"	1	0	0	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	1.394	-0.077	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.852	"1"
"上下"	0	0	0	0	0	0	0	0	1	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	0.593	0.941	"9"
"上扬"	0	0	2	0	0	0	0	0	0	0.081	0.323	0.384	0.226	0.081	0.092	0.255	0.048	0.51	-0.036	-0.153	1.433	-0.104	-0.036	-0.041	-0.119	-0.021	-0.256	2.199	"3"
"上游"	0	0	2	0	0	0	0	0	0	0.081	0.323	0.384	0.226	0.081	0.092	0.255	0.048	0.51	-0.036	-0.153	1.433	-0.104	-0.036	-0.041	-0.119	-0.021	-0.256	2.199	"3"
"上班族"	0	0	0	0	0	0	0	0	1	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	0.593	0.941	"9"
"上等"	0	0	0	0	0	0	1	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	0.894	-0.011	-0.128	1.311	"7"
"上述"	1	0	0	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	1.394	-0.077	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.852	"1"
"下令"	1	0	0	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	1.394	-0.077	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.852	"1"
"下游"	0	0	5	0	0	0	0	0	0	0.202	0.808	0.96	0.564	0.202	0.23	0.638	0.121	1.275	-0.09	-0.383	3.584	-0.26	-0.09	-0.102	-0.297	-0.053	-0.639	5.498	"3"
"下脚料"	0	0	0	0	0	0	1	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	0.894	-0.011	-0.128	1.311	"7"
"下跌"	0	0	1	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	0.717	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.1	"3"
"不停"	0	0	0	0	0	0	0	0	1	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	0.593	0.941	"9"
"不同"	0	0	0	1	0	1	0	0	3	0.202	0.808	0.96	0.564	0.202	0.23	0.638	0.121	1.275	-0.09	-0.383	-0.463	0.347	-0.09	0.678	-0.297	-0.053	0.963	3.364	"9"
"不宜"	0	1	0	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	0.792	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.191	"2"
"不明"	0	0	0	0	0	0	1	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	0.894	-0.011	-0.128	1.311	"7"
"不过如此"	0	0	0	0	0	0	1	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	0.894	-0.011	-0.128	1.311	"7"
"与否"	0	1	0	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	0.792	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.191	"2"
"与此同时"	0	1	0	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	0.792	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.191	"2"
"专利权"	0	0	0	0	0	0	0	0	1	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	0.593	0.941	"9"
"专用"	0	0	0	0	0	0	0	1	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	-0.059	1.616	-0.128	2.081	"8"
"且"	0	1	1	0	0	0	0	0	0	0.081	0.323	0.384	0.226	0.081	0.092	0.255	0.048	0.51	-0.036	0.527	0.46	-0.104	-0.036	-0.041	-0.119	-0.021	-0.256	1.6	"2"
"丙烯"	0	0	1	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	0.717	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.1	"3"
"业"	0	0	2	0	0	0	0	0	0	0.081	0.323	0.384	0.226	0.081	0.092	0.255	0.048	0.51	-0.036	-0.153	1.433	-0.104	-0.036	-0.041	-0.119	-0.021	-0.256	2.199	"3"
"个体"	0	0	0	0	0	0	0	0	2	0.081	0.323	0.384	0.226	0.081	0.092	0.255	0.048	0.51	-0.036	-0.153	-0.185	-0.104	-0.036	-0.041	-0.119	-0.021	1.187	1.882	"9"
"中"	1	11	0	1	0	0	5	0	2	0.808	3.231	3.84	2.255	0.808	0.92	2.554	0.485	5.101	0.251	4.107	-1.852	-0.49	-0.358	-0.409	0.991	-0.213	-1.079	9.75	"2"
"中油"	0	0	3	0	0	0	0	0	0	0.121	0.485	0.576	0.338	0.121	0.138	0.383	0.073	0.765	-0.054	-0.23	2.15	-0.156	-0.054	-0.061	-0.178	-0.032	-0.384	3.299	"3"
"中草药"	0	2	0	0	0	0	0	0	0	0.081	0.323	0.384	0.226	0.081	0.092	0.255	0.048	0.51	-0.036	1.583	-0.185	-0.104	-0.036	-0.041	-0.119	-0.021	-0.256	2.381	"2"
"中药"	2	2	0	0	0	0	0	0	1	0.202	0.808	0.96	0.564	0.202	0.23	0.638	0.121	1.275	1.823	0.73	-0.463	-0.26	-0.09	-0.102	-0.297	-0.053	-0.206	4.024	"1"
"中西合璧"	0	0	0	0	0	0	1	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	0.894	-0.011	-0.128	1.311	"7"
"中间"	0	0	2	0	0	0	0	0	0	0.081	0.323	0.384	0.226	0.081	0.092	0.255	0.048	0.51	-0.036	-0.153	1.433	-0.104	-0.036	-0.041	-0.119	-0.021	-0.256	2.199	"3"
"中风"	1	0	0	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	1.394	-0.077	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.852	"1"
"丰"	0	0	0	0	0	0	1	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	0.894	-0.011	-0.128	1.311	"7"
"丰富"	0	0	0	0	0	0	0	0	1	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	0.593	0.941	"9"
"为"	0	0	6	0	0	0	2	0	5	0.525	2.1	2.496	1.466	0.525	0.598	1.66	0.315	3.316	-0.233	-0.995	1.605	-0.676	-0.233	-0.266	0.294	-0.138	0.66	5.1	"3"
"为主"	0	0	0	1	0	0	1	0	1	0.121	0.485	0.576	0.338	0.121	0.138	0.383	0.073	0.765	-0.054	-0.23	-0.278	0.521	-0.054	-0.061	0.473	-0.032	0.232	1.935	"4"
"主要"	0	1	2	0	0	0	8	0	6	0.687	2.746	3.264	1.917	0.687	0.782	2.171	0.412	4.336	-0.304	-0.67	-0.469	-0.883	-0.304	-0.347	3.233	-0.181	0.601	6.992	"7"
"丽水"	0	0	1	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	0.717	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.1	"3"
"举报"	0	0	0	0	0	1	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	1.337	-0.059	-0.011	-0.128	1.793	"6"
"义"	0	0	0	0	0	0	1	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	0.894	-0.011	-0.128	1.311	"7"
"乌克兰"	0	0	1	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	0.717	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.1	"3"
"乙"	0	0	1	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	0.717	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.1	"3"
"乙烯"	0	0	1	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	0.717	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.1	"3"
"乙醇"	0	0	0	0	0	0	0	0	1	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	0.593	0.941	"9"
"书本"	0	0	0	0	0	0	0	0	1	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	0.593	0.941	"9"
"书面"	0	0	0	0	0	2	0	0	0	0.081	0.323	0.384	0.226	0.081	0.092	0.255	0.048	0.51	-0.036	-0.153	-0.185	-0.104	-0.036	2.675	-0.119	-0.021	-0.256	3.585	"6"
"买来"	0	0	0	0	0	0	1	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	0.894	-0.011	-0.128	1.311	"7"
"乳腺癌"	0	1	0	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	0.792	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.191	"2"
"乳酸"	0	0	0	0	0	0	1	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	0.894	-0.011	-0.128	1.311	"7"
"了"	0	0	0	1	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	0.948	-0.018	-0.02	-0.059	-0.011	-0.128	1.372	"4"
"争"	0	0	0	0	0	0	1	0	1	0.081	0.323	0.384	0.226	0.081	0.092	0.255	0.048	0.51	-0.036	-0.153	-0.185	-0.104	-0.036	-0.041	0.621	-0.021	0.352	1.549	"7"
"事业局"	0	1	0	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	0.792	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.191	"2"
"二手"	0	0	0	0	0	0	0	3	0	0.121	0.485	0.576	0.338	0.121	0.138	0.383	0.073	0.765	-0.054	-0.23	-0.278	-0.156	-0.054	-0.061	-0.178	4.847	-0.384	6.242	"8"
