"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"总书记"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"总体"	2	0	0	1	0.849	0.242	0.366	1.543	0.71	-0.109	-0.169	-0.32	1.308	"1"
"总共"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"总投资"	0	0	2	0	0.566	0.161	0.244	1.029	-0.289	-0.073	1.828	-0.628	2.818	"3"
"总结"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"总领馆"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"总额"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"恢复"	1	0	0	1	0.566	0.161	0.244	1.029	0.313	-0.073	-0.113	-0.134	0.633	"1"
"意向"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"慢跑"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"成"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"成全"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"成功"	0	0	0	4	1.132	0.322	0.488	2.058	-0.578	-0.146	-0.226	1.155	2.105	"4"
"成双"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"成效"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"成熟"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"成绩"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"我国"	1	0	1	1	0.849	0.242	0.366	1.543	0.2	-0.109	0.491	-0.32	1.12	"3"
"战后"	1	0	0	2	0.849	0.242	0.366	1.543	0.2	-0.109	-0.169	0.283	0.761	"4"
"战线"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"戴相龙"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"房地产"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"所有"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"手术"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"扎"	2	0	0	0	0.566	0.161	0.244	1.029	1.096	-0.073	-0.113	-0.628	1.91	"1"
"扎实"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"扎扎实实"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"执行"	0	0	0	10	2.83	0.806	1.219	5.145	-1.445	-0.365	-0.565	2.886	5.261	"4"
"扩大"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"扫雷"	0	0	0	3	0.849	0.242	0.366	1.543	-0.434	-0.109	-0.169	0.866	1.578	"4"
"扶"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"批"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"批准"	0	0	1	1	0.566	0.161	0.244	1.029	-0.289	-0.073	0.64	-0.134	1.136	"3"
"承担"	1	0	0	3	1.132	0.322	0.488	2.058	-0.167	-0.146	-0.226	0.476	1.015	"4"
"技术"	0	0	2	2	1.132	0.322	0.488	2.058	-0.578	-0.146	1.123	-0.177	2.024	"3"
"技术人员"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
