"top20dca_collo"	"cluster"	"concept"
"增长 % 工业 中国 集团 公司 园区 企业 汽车 苏州 装备 生产 全 制造业 国有 支柱 及 占 增加值 市"	2	"industry_00923444-n"
"指数 总会 道琼 价格 美股 类股 终场 30 为主 上升 上涨 互见 琼斯 下降 - 全国 活动 股票 份 下跌"	3	"industry_00923444-n"
"、 研究 材料 所 生产 及 技术 纳米 用 ， 使用 化学 含 天然 应用 科学 设备 高 为 产品"	1	"ingredient_03570709-n"
"影响 经济 因素 不 因 重要 这些 受 导致 下 有利 增长 主要 确定 非 一些 可能 市场 由于 不利"	2	"ingredient_03570709-n"
"主办 请 专业研 别开生面 南投县籍 县府 双威 唿吁 安排 旁敲侧击 洪敏麟 活动期 石冈 营建署 请来 邀 雅式 鸟博览会 NA NA"	1	"institution_03574555-n"
"部门 要 各 有关 政府 监督 行政 加强 安全 工作 和 检察 省 级 检查 主管 机关 中央 国家 措施"	2	"institution_03574555-n"
"金融 合併 全体 款 财政部 银行 机构 19.6 AT 一千八百三十五亿 不良 不良贷 不良贷款 中小企业 体质 健全 储蓄 八千六百 发函 发布"	3	"institution_03574555-n"
"个 国际 或 事业 投资 原子能 研究 卖出 联合国 单位 分支 境外 巴勒斯坦 按照 权力 民族 经济部 中介 企 保险"	4	"institution_03574555-n"
"公司 、 保险 人寿 家 银行 金融 购买 市场 中国 等 业务 外资 推出 投资 产品 客户 平安 经营 责任"	1	"insurance_14539826-n"
"社会 医疗 职工 制度 失业 基本 养老 城镇 就业 生育 体系 基金 保障 参加 改革 下岗 健全 经办 方面 办法"	2	"insurance_14539826-n"
"安全 人权 能力 提供 权益 法律 部门 自由 伤害 后勤 经费 人身 更 最 台商 确保 进一步 健康 工作 为了"	3	"insurance_14539826-n"
"合法 维护 保障 保护 及 劳工 法律 人民 应 者 消费者 争取 妇女 民众 员工 受到 权益 规定 公民 劳动"	1	"interest_state_13286801-n"
"有限公司 股份 上海 电力 澳门 食品 北京 集团 开发 由 创业 实业 殡仪 软件 远东 中国 医药 交易所 保险 半导体"	2	"interest_state_13286801-n"
"元 % 增长 公司 实现 企业 比 亿 年 高 国有 持有 ; 利润 总额 占 银行 去年 同期 工业"	3	"interest_state_13286801-n"
"行业 个 企业 产品 成为 生产 工业 整 疫情 相关 较 等 产业 其他 发展 增长 影响 汽车 竞争 结构"	1	"job_00582388-n"
"担任 资格 辞去 之 利用 职务 联赛 ; 书记 便 总统 足球 犯罪 中央 岗位 市长 录取 教师 美国 职"	2	"job_00582388-n"
"人员 联合国 不准 使馆 办公室 组委会 救助 检查 NA NA NA NA NA NA NA NA NA NA NA NA"	3	"job_00582388-n"
"防治 做好 非典 要 部门 各 项 努力 肺炎 全面 工作 农村 指导 取得 安全 加强 思想 非典型 开展 落实"	4	"job_00582388-n"
"比赛 被 场 却 裁判 球员 犯规 球 主 名 因 张 执法 足球 红卡 但 没有 判罚 黄卡 出示"	1	"judgment_assessment_00874067-n"
"高度 给予 中国 关系 唐家璇 主席 中方 澳门 俄 中古 为首 奥委会 平昌 扶贫 抗 抗炎 港澳台 特区 社论 致以"	2	"judgment_assessment_00874067-n"
"对 积极 说 高 环境 评价 他 人士 制度 总理 监测 调查 体系 资源 关系 干部 影响 温家宝 生态环境 质量"	3	"judgment_assessment_00874067-n"
"根据 作出 自己 错误 正确 初步 是否 做出 专业 无法 疫情 判断 可能 来 病人 选择 世卫 做 公正 分析"	4	"judgment_assessment_00874067-n"
"比赛 场 被 裁判 犯规 判 主 出示 判罚 球员 却 黄卡 张 足球 但 出场 对手 担任 红卡 禁区"	1	"judgment_judging_05789432-n"
"高度 中国 他 说 传统 予以 媒体 得到 合作 中非 交换 共产党 友谊 哈萨克 外交官 希拉克 精英赛 蒙特勒 衷心 贡献给"	2	"judgment_judging_05789432-n"
"对 高 是否 正确 自己 给予 评价 积极 做出 标准 错误 作出 分析 很 做 制度 根据 工作 NA NA"	3	"judgment_judging_05789432-n"
"干部 下 小组 中央 要 工作 级 班子 部门 加强 基层 领导 同志 工会 建设 责任 国务院 市 思想 各"	1	"leader_09623038-n"
"伊拉克 巴勒斯坦 阿拉法特 以色列 回教 政权 巴 集团 . 东 耶路撒冷 28日 什叶派 伊斯兰 利库德 强行 沙龙 阿拉伯 右翼 卡扎菲"	2	"leader_09623038-n"
"政治 由 代 反对党 缅甸 作用 国会 位 成员 商界 层 棒子 运动 阶层 高尔 政府 发表 精神 者 NA"	3	"leader_09623038-n"
"会议 国家 举行 国 中国 两 非正式 两国 出席 亚太 会晤 双方 朝鲜 次 期间 金正日 讨论 东盟 南北 双边"	4	"leader_09623038-n"
"高 最 低 平均 越 的 以来 点 百分点 大 高于 超过 维持 全国 达到 保持 整体 中等 增幅 收入"	1	"level_degree_05093890-n"
"提高 不断 卫生 生活 装备 人民 随着 供电 修养 公开赛 加强 运动 道德 促进 我国 变 国家队 技 术 科学"	2	"level_degree_05093890-n"
"不同 上 个 一定 种 某 经济 从 发挥出 受到 影响 领先 具有 华文 受 深 NA NA NA NA"	3	"level_degree_05093890-n"
"人民 改善 提高 水平 科学 群众 保障 条件 安全 健康 不断 困难 居民 生产 财产 质量 方式 城市 保护 农民"	1	"life_13963192-n"
"日常 现实 态度 中 百姓 群众 充足 别有 发电厂 客观 平凡 平常 彼此 心态 无所不在 有方 杨绛 枝枝节节 火热 物资"	2	"life_13963192-n"
"危险 你 生命 自己 没有 着 NA NA NA NA NA NA NA NA NA NA NA NA NA NA"	3	"life_13963192-n"
"人民 保障 提高 方式 改善 安全 群众 正常 社会 基本 财产 水平 生产 居民 恢复 秩序 小康 幸福 灾区 质量"	1	"life_living_13961642-n"
"习惯 日常 养成 吸烟 多么 影响 中 市民 NA NA NA NA NA NA NA NA NA NA NA NA"	2	"life_living_13961642-n"
"挽救 夺去 ! 垂危 美国人 逝去 在一起 婚姻 年轻 延续 抢救 点燃 眷村 经历 英勇 谱写 跳楼 患者 NA NA"	3	"life_living_13961642-n"
"危险 没有 艺术 科学 之 无 中 文化 体验 尊重 生命 家庭 自己 垃圾 失去 来源 现实 空间 NA NA"	4	"life_living_13961642-n"
"我 不 买 吃 你 我们 要 都 ？ 很多 什么 她 没 了 这些 呢 好 把 自己 那"	1	"material_stuff_14580897-n"
"非典 向 捐赠 提供 救灾 批 伊拉克 和 援助 救援 主义 人员 抗 人道 医疗 物资 运送 支援 灾区 运抵"	2	"material_stuff_14580897-n"
"、 种 及 : ， 材料 生产 使用 含有 ) 化学 含 物质 经济 采用 ( 中 产品 技术 指数"	3	"material_stuff_14580897-n"
"採取 军事 宣佈 旅客 禁 当局 财政部 补救 防疫 适当 ＣＫＰ 以便 企图 国宝级 处罚 对付 抵押 日方 有违 某些"	1	"means_03733547-n"
"采取 防范 系列 政府 部门 确保 各 非典 沙斯 及时 强硬 机场 进一步 肺炎 有效 一些 严格 NA NA NA"	2	"means_03733547-n"
"以 合作 补助 表达 互动 以往 任何 轻松 运作 这样 或 NA NA NA NA NA NA NA NA NA"	3	"means_03733547-n"
"通过 用 治疗 等 处理 生活 方法 NA NA NA NA NA NA NA NA NA NA NA NA NA"	4	"means_03733547-n"
"治疗 种 病毒 药物 可 医生 服用 艾滋病 抗 疫苗 免疫 类 减肥 基因 或 有效 用 使用 人体 发现"	1	"medicine_03740161-n"
"药品 管理局 监督 管理 国家 价格 部门 和 采购 医疗 规定 食品 招标 器械 假劣 购销 企业 单位 专项 风"	2	"medicine_03740161-n"
"、 学院 产业 中 中国 医药 科学 生物 保健 大学 科技 行业 新加坡 集团 技术 提供 等 产品 基金 教育"	3	"medicine_03740161-n"
"采取 紧急 严厉 非典型 措施 肺炎 取 引渡 部门 采 政府 控制 更加 必要 传染病 及时 应对 严 强制 强有力"	1	"method_05660268-n"
"种 宽带 矫正 这 健身 或 以 NA NA NA NA NA NA NA NA NA NA NA NA NA"	2	"method_05660268-n"
"以 是 用 解决 处理 生活 通过 来 使用 争端 和平 教学 没有 进行 传统 决 寻求 思维 想 改变"	3	"method_05660268-n"
"安全 治疗 非典 预防 疫苗 防范 疫情 隔离 加强 诊断 有效 研究 有关 机场 传染 医疗 基因 病毒 药物 保证"	4	"method_05660268-n"
"採取 管理 包括 《 》 具体 项 实施 改革 股市 规定 因应 定 相关 优惠 债券 公积金 办法 发行 经营"	5	"method_05660268-n"
"防御 系统 国家 战区 部署 TMD 建立 NMD 全国 反对 美国 布希 体系 主张 系列 日 战略 美 统 问题"	1	"missile_04008634-n"
"发射 枚 伊拉克 击中 哈马斯 武装 直升机 辆 巴勒斯坦 8000 至少 巴格达 伤亡 军队 在内 沙城 军 05 不详 伊斯兰"	2	"missile_04008634-n"
"弹道 朝鲜 空 试射 地对空 艘 射程 型 公里 中程 反 飞机 战机 飞弹 武器 防空 北韩 海军 印度 巡弋"	3	"missile_04008634-n"
"国际 基金 组织 世界 基金会 总裁 克勒 银行 织 预测 IMF 基金组 阿根廷 世界贸易组织 债务 印尼 贷款 南韩 SDR 偿还"	1	"money_13384557-n"
"政策 央行 财政 紧缩 稳健 联准 宽松 委员会 採取 宏观 职能 通货 继续 立场 会 季度 执行 调整 保持 美联储"	2	"money_13384557-n"
"供给额 货币 信贷 单一 M2 供应量 M1B 增长 流通 年增率 指 港元 发行 区域 供给 供应 增加 M1A M3 住房"	3	"money_13384557-n"
"兑换 人民币 各 挂牌 价格 可 汇价 制定 如下 对 伦敦 市场 其它 收盘价 其他 币 毗邻国 NA NA NA"	4	"money_13384557-n"
"美元 亚洲 外汇 兑 主要 日圆 交易商 欧元 普遍 比价 贬值 纽约 汇率 西方 走贬 分析 升 挺升 走高 下跌"	5	"money_13384557-n"
"政策 央行 货币 汇率 市场 欧元 人民币 外汇 稳健 继续 需求 M2 兑换 其他 单一 国 操作 调节 增长 本"	1	"money_wealth_13250542-n"
"管理 国际 资金 组织 保险 投资 基金 金融 调度 保险业 国内 引进 技术 募集 公司 注入 流动 运作 风险 企业"	2	"money_wealth_13250542-n"
"元 投入 用于 亿 筹集 建设 筹措 再就业 共 安排 达 利用 困难 巨额 资助 设施 6亿 com 一亿 专项"	3	"money_wealth_13250542-n"
"生命 安全 人民 并 将 款项 给 个人 笔 所 捐赠 没收 流向 涉及 和 分配 创造 剥夺 所有 损失"	4	"money_wealth_13250542-n"
"年 将 内 五 数 估计 到 之内 天 十 计画 计划 东亚 半 和谈 大力 年间 据悉 科技组 购买远"	1	"near_future_15263795-n"
"发展 方向 关系 信心 美好 充满 成为 空间 共同 时期 更加 走向 产业 竞争 合作 台湾 两国 创 战略 努力"	2	"near_future_15263795-n"
"可能 会 是否 不久 要 预计 两岸 NA NA NA NA NA NA NA NA NA NA NA NA NA"	3	"near_future_15263795-n"
"各 按照 严格 通知 监察 按 标准 落实 部门 级 贯彻 部署 加强 规范 严 傅志寰 党委 纪委 质量 达到"	1	"need_demand_14449126-n"
"并 提出 美国 以色列 应 政府 强烈 立即 当局 有关 赔偿 停止 回应 安理会 将 布什 法官 联合国 议员 业者"	2	"need_demand_14449126-n"
"满足 发展 符合 市场 适应 对 增长 产品 调整 迫切 不同 不断 债券 因应 国内 增加 大量 客户 快速 生产力"	3	"need_demand_14449126-n"
"出于 党校 剧团 剧场 匿名 酋 阿联 50余 891115 一体 不当 世贸 东扩 东端 二00二年 传达给 俊义 关厂 内坦 函"	4	"need_demand_14449126-n"
"有 我们 认为 时 才能 时间 了解 没有 人才 努力 可能 帮助 提供 现在 再 基于 学历 实际 措施 资金"	5	"need_demand_14449126-n"
"《 》 据 商报 南洋 星洲日报 昨天 中国时报 佐治亚州 周刊 艘 日 日报 南非 日前 NA NA NA NA NA"	1	"news_06642138-n"
"这 后 说 证实 传出 美军 好 英国 接获 驻外 人士 综合 巴格达 伊 军方 则 引起 新闻网 早报 艺术部"	2	"news_06642138-n"
") ( : 今天 今日 新闻 新华社 电 标题 使用 发布 大陆 头条 办公室 国际 报纸 报导 中共 产品 文字"	3	"news_06642138-n"
"媒体 针对 今晚 将来新 总统府 採访 新新闻 週刊 陈昭荣 官方 内容 NA NA NA NA NA NA NA NA NA"	4	"news_06642138-n"
"据 日 通讯社 间 当地 电视台 莫斯科 媒体 俄 俄罗斯 社 此 另 官方 报道 体育局 保加利亚 台长 土耳其 总编辑"	5	"news_06642138-n"
"标题 主要 北京 摘选 要闻 今日 头条 世界 新闻 新华社 之 人民日报 邮报 今天 地 -- 电 各 报导 NA"	1	"newspaper_06267145-n"
"报道 据 ） ！ 昨天 官方 日本 伦敦 法新 法新电 缅甸 马国 指 阿拉伯 引述 根据 马来西亚 不少 前天 加尔各答"	2	"newspaper_06267145-n"
"刊登 广告 上 供 利用 扎伊 莎拉 信件 色情 19日 文章 课题 NA NA NA NA NA NA NA NA"	3	"newspaper_06267145-n"
"份 杂志 电视 看 媒体 华文 广播 报纸 家 出版 电台 香港 上 》 最近 英文 《 读者 中文 报导奖"	4	"newspaper_06267145-n"
"七时 台北 昨天 当天 今天 举行 于 前天 三十分 十时 将 总统府 九时 总统 三十一日 发佈 抵达 八时 十一时 记者会"	1	"night_15169759-n"
"： 30分 7时 8时 11时 10时 9时 至 下午 地点 （ ） 上午 本 月 时间 2时 3时 5时 6时"	2	"night_15169759-n"
"白天 播出 点 个 时段 节目 电视 勤务 气象台 睡 频道 星期六 星期五 预计 明天 天 7点 东北部 公视 动物园"	3	"night_15169759-n"
"： 7时 8时 30分 9时 至 11时 时间 10时 早上 （ 地点 6月 45分 营业 上午 ■ . 从 ）"	1	"night_time_15167027-n"
"今天 九时 七时 三十分 十一时 举行 十时 台北 六时 晚间 于 三十一日 将 十月 国庆 总统 搭乘 预定 预计 八时"	2	"night_time_15167027-n"
"， 白天 昨天 前天 天 点 吃 夜间 频道 个 当天 张国荣 翡翠 动物园 加成 收费 经常 4月 5日 才"	3	"night_time_15167027-n"
"这 」 经营 提出 种 他 我 与 从 自己 「 来 现实 一些 他们 以 其实 只是 意识 所谓"	1	"notion_05836598-n"
"代表 重要 个 ” 贯彻 学习 兴起 新高潮 认真 同志 指导 实践 党 十六 全面 江泽民 深入 举措 意义 止境"	2	"notion_05836598-n"
"和 工作 解放 观念 毛泽东 建设 干部 领导 主义 要 文化 思想 把 精神 政治 作风 理论 必须 做好 马克思"	3	"notion_05836598-n"
"统计 显示 今年 表明 公布 贸易 新 2002年 发布 最 6月 全球 患者 一九九六年 有关 根据 同期 失业率 数据 统计局"	1	"number_05121418-n"
"减少 增加 上升 进口 增长 汽车 比 超过 数量 裁员 少 有所 企业 破产 公吨 出口 到 印制 总 玉米"	2	"number_05121418-n"
"公布 官方 根据 预测 全 今年 截至 经济 这 公佈 政府 地 日前 个 最 失业 新 4月 发表 底"	3	"number_05121418-n"
"化 元 具体 限制 赔偿 只 多 一定 图书馆 大 特别 网络 贷款 数字 NA NA NA NA NA NA"	4	"number_05121418-n"
"银行 公务员 公司 行政 职员 贪污 队伍 市府 提供 考试 说明 退休 「 」 公务人员 制度 及 培训 将 或"	1	"official_10372373-n"
"高级 美国 军政 政权 法新社 苏伊士 伊 出席 伊拉克 事务 民阵 部长 NA NA NA NA NA NA NA NA"	2	"official_10372373-n"
"说 表示 名 美国 机场 位 中共 会谈 专家 卫生 高层 称 宣布 愿 指出 白宫 萨达姆 政府 美 介绍"	3	"official_10372373-n"
"调查 显示 结果 项 民众 最 公布 份 最近 新 根据 戈尔 大学 投票 提名 支持率 进行 布什 所 领先"	1	"opinion_05949726-n"
"认为 和 此 美国 对 间 普遍 日本 压力 香港 引起 指责 一些 媒体 公众 关注 哗然 国际 批评 反应"	2	"opinion_05949726-n"
"主流 福祉 彰显 政党 确保 理应 台湾 全民 ? 赞成 当局 重视 NA NA NA NA NA NA NA NA"	3	"opinion_05949726-n"
"测验 民意 国会 政策 核四 民主 总统 立法 依归 基础 尊重 立法院 愿 改选 顺应 代表 停建 公投 支持度 符合"	4	"opinion_05949726-n"
"金融 合併法 贷款 机构 国内 草案 呆 存 帐 放款 银行 各 保险 NA NA NA NA NA NA NA"	1	"organization_08008335-n"
"公司 集团 家 ） 投资 （ 董事长 企业 中国 控股 证券 工业 联电 销售 业务 新加坡 有限 汽车 港务 石油"	2	"organization_08008335-n"
"世界 卫生 贸易 贸 全球 加入 会议 根据 卫 布伦特兰 易 气象 专家 台湾 总干事 旅游 生 会员 NA NA"	3	"organization_08008335-n"
"恐怖 巴勒斯坦 回教 权力 民族 巴 伊斯兰 分子 主席 哈马斯 抵抗 武装 阿拉法特 运动 宣布 主义 卡伊达 圣战 民兵 真主党"	4	"organization_08008335-n"
"犯罪 传媒 福布斯 赛事 科技 信徒 复制 大军区 大型 女队 影视 总裁 枚 汤姆笙 法国 男子 百货 皮肤 盗版 细胞"	5	"organization_08008335-n"
"国际 组织 工作 民间 政府 参与 部门 伊朗 党 服务 医疗 活动 合作 人员 世卫 工会 成员 级 该 党员"	6	"organization_08008335-n"
"能够 借助 独弦琴 计时赛 陈永淘 影响力 NA NA NA NA NA NA NA NA NA NA NA NA NA NA"	1	"outlook_05944958-n"
"能 他们 我们 会谈 公众 打进 棒球 衷心 我 NA NA NA NA NA NA NA NA NA NA NA"	2	"outlook_05944958-n"
"不要 他 大家 看到 我 连战 他们 我们 可以 和解 外界 她 以后 出面 头前溪 帮 志刚 萧万长 表达 诚恳"	3	"outlook_05944958-n"
"对 发展 尽快 不 乐观 广阔 经济 表示 关系 合作 改善 早日 两国 借 充满 尽速 民众 经贸 NA NA"	4	"outlook_05944958-n"
"非典 疑似 出院 肺炎 接触 沙斯 康复 感染 非典型 典型 非 传染病 救治 病毒 痊愈 发现 可疑 SARS 治愈 艾滋病"	1	"patient_10405694-n"
"治疗 手术 方法 细胞 反应 糖尿病 药物 疾病 癌症 接受 患者 发烧 心脏病 患有 治疗部 疗效 疗法 乳癌 深切 肺癌"	2	"patient_10405694-n"
"医院 病房 医师 诊所 家属 女 求诊 照顾 生医院 院方 私人 陈笃 医疗 转送 住院 医务 不得 多达 无效 曾经"	3	"patient_10405694-n"
"劳动 “ ” 全国 称号 表彰 被 职工 荣获 宣传 、 光荣 授予 红旗 和 八 名 团委 困难 广州"	1	"pattern_05938795-n"
"为 树立 好 了 学习 以 楷模 作用 精神 其他 -- 个 创业 我们 和 成为 值得 及 看 表扬"	2	"pattern_05938795-n"
"模式 现代化 东亚 夜间 学习到 担保 控制到 新增 经销 恭城 核心 经营 种 全程 转变 销售 套 NA NA NA"	3	"pattern_05938795-n"
"种 行为 加值 经济 中国家 形成 服务 主观 依靠 全运会 区块 协作 压制 商 大而化之 套用 好莱坞 形态 微妙 忽然"	4	"pattern_05938795-n"
"基本 教育 相 营运 有效 处理 改变 就是 分析 多样化 大学 採 套 结合 教学 代管 以往 企业界 做为 养"	5	"pattern_05938795-n"
"合作 运作 管理 新 发展 商业 建立 产业 谈判 民主 经营 业务 农业 通关 两岸 企业 全新 堪称 海关 农产品"	6	"pattern_05938795-n"
"对 与 更 健康 生活 病毒 给 使 发展 地 它 研究 让 能够 社会 人类 共同 心 成为 担心"	1	"people_07942152-n"
"认为 分析 消息 有关 透露 市场 指出 此 引述 权威 高层 据 异议 称 间 香港 业内 经济界 话说 戴秉国"	2	"people_07942152-n"
"专业 及 各界 以及 参加 团体 党 与会 开放 位 台 外 内 大陆 党派 无 知名 邀请 出席 志愿"	3	"people_07942152-n"
"春节 900123 蒜球 中油 二十二日电 出游 加开 包机 景点 机动 来袭 柳钢 流量 溼 疏解 董振国 车潮 过节 返乡 锦文桥"	1	"period_15113229-n"
"新 发展 进入 非典 处于 个 已 化 教育 不同 已经 试验 今后 仍 历史 理论 生存 时代 经济 NA"	2	"period_15113229-n"
"十五 九五 五一 战国 过年 云南省 代 吐 春运 石器 节日 蕃 出土 华工 发现 古 塑像 广场 开采 日据"	3	"period_15113229-n"
"第一 分 第二 比赛 阶段 决赛 进行 2004年 三 第三 第四 个 完成 结束 工作 世界杯 决出 联赛 调降为 赛"	4	"period_15113229-n"
"在 访问 天 会议 将 总统 担任 段 隔离 至 曾 与 五 大选 总理 竞选 逗留 1991年 与会 代表团"	5	"period_15113229-n"
"以 观察员 参与 主席 参加 是以 第一 总统 代表 小组 出席 大会 访问 与会 中华民国 参选 复赛 球员 私人 访"	1	"place_station_socialsituation_13947645-n"
"个 确定 他 身份 确认 者 空缺 名 透露 不明 愿 竞选 职位 警方 议员 部长 人员 公开 创造 工作"	2	"place_station_socialsituation_13947645-n"
"领先 处于 一直 居 保持 优势 世界 全球 14分 DDR ICRA2003(IEEE 不利 中国市 义肢 分榜 厉 压制 去芜存菁 后来居上 女子组"	3	"place_station_socialsituation_13947645-n"
"国际 中 社会 提高 其 市场 台湾 重要 政治 提升 历史 具有 加强 世界 中心 作为 占 作用 取代 巩固"	4	"place_station_socialsituation_13947645-n"
"教练员 训练 运动员 教练 桿 年轻 奥运 古巴 桌球 优秀 削球 雪梨 孙雯 药检 足球 们 拳击 最佳 田径 运会"	1	"player_10439851-n"
". 冠军 女子 男子 决赛 选手 金牌 排名 种子 夺得 击败 号 米 获得 俄罗斯 游泳 德国 对 世界 亚军"	2	"player_10439851-n"
"参加 参赛 名 男 比赛 女 前 运动会 泛美 来自 青少年 代表队 只有 大赛 实力 伍 冯 助威 吉加吉 球技"	3	"player_10439851-n"
"、 机关 交通 全国 边防 分局 各 总长 地 总部 部门 优秀 公安 员警 行政 加强 执勤 派出所 花莲 人员"	1	"police_08209687-n"
"被 名 遭 部队 开枪 当地 警员 伊拉克 学员 维持 警察 示威 保安 巴格达 监狱 发生 受伤 冲突 法轮功 秩序"	2	"police_08209687-n"
"警方 调查 逮捕 报案 起 查获 正 现场 将 犯罪 嫌犯 男子 据 展开 日前 向 已 破获 发言人 澳门"	3	"police_08209687-n"
"朝野 争议 总预算 和谐 学者 唿吁 协商 工时案 人士 党主席 国民 连战 NA NA NA NA NA NA NA NA"	1	"political_party_08256968-n"
"立法院 党团 立院 新党 国民党 民进党 今天 -- 表示 罢免案 上午 中国 行政院 记者会 会议 亲民党 下午 书记长 总召集人 赖士葆"	2	"political_party_08256968-n"
"轮替 三月 十八日 总统 民主 之后 二十日 五月 政权 经历 首度 大选 湾 891008 ＯＯＯ 二○○○年 二○○四年 仅管 几经 历经"	3	"political_party_08256968-n"
"各 政党 政治 国会 不 其他 合作 共同 候选人 利益 联合 任何 分 无 主要 执政 选举 和解 希望 联"	4	"political_party_08256968-n"
"度 重要 列 地震 球员 积分 第二 中心 前 北纬 地理 所在 榜首 赫斯基 队 上 自己 中场 主帅 六○○○"	1	"position_posture_06196284-n"
"持 谨慎 乐观 抱持 观望 抗御 正面 疫症 保持 着 认真 一直 审慎 较 种 NA NA NA NA NA"	2	"position_posture_06196284-n"
"台湾 表达 中国 「 政党 中共 政府 」 坚定 就 核四 发表 意见 反对 党 分歧 各自 美方 对于 尊重"	3	"position_posture_06196284-n"
"对 以 积极 改变 有 一致 不同 友善 更 种 采取 这样 保守 持有 极化 科学 ： 开放 务实 对待"	4	"position_posture_06196284-n"
"有 才 甚至 完全 停赛 出任 升任 危及 取代 拔牙 火星 达致 需要 NA NA NA NA NA NA NA"	1	"potentiality_14482620-n"
"排除 不 的 高温 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA"	2	"potentiality_14482620-n"
"会 出现 种 导致 感染 病例 病毒 担心 采取 性 袭击 因为 SARS 变成 引发 冲突 恶化 警告 造成 未来"	3	"potentiality_14482620-n"
"估计 军事 主教练 合并 开动 意味 研判 衰退 无限 原因 NA NA NA NA NA NA NA NA NA NA"	4	"potentiality_14482620-n"
"大 市场 发展 巨大 中国 合作 产业 具有 极 的 很 公务人员 品牌 探讨 影响 增长 他们 企业 具 成长"	5	"potentiality_14482620-n"
"军事 边境 部署 拥有 支 威慑 强有力 裁减 方 优势 保守 借着 停火 动用 北约 同盟 周航 奠定下 对付 差距"	1	"power_force_10461424-n"
"反 打击 武装 回教 残余 西方 台独 主义 塔利班 外国 极端 美军 反对 内 分裂 反华 右翼 敌对 美 运动"	2	"power_force_10461424-n"
"组织 对比 后备 抓好 迅速 防 防守 骨干 训练 集中 战略 借助 分散 大堤 悬殊 抢救 攻关 术 消退 消长"	3	"power_force_10461424-n"
"强大 股 产权 朝鲜 集聚 艰难 险阻 起 形成 战胜 三军 不久前 不容 与日俱增 世俗 主张 切 印度 压倒 向来"	4	"power_force_10461424-n"
"具有 对 有 政治 大 很 其 中东 扩大 最 范围 各 世界 具 国际 俄罗斯 成为 人士 地区 相当"	5	"power_force_10461424-n"
"发挥 社会 力量 自己 人民 推动 结合 团结 重要 民间 贡献 民主 份 一切 伟大 凝聚 尽 科研 稳定 建设"	6	"power_force_10461424-n"
"机构 民族 巴勒斯坦 阿拉法特 巴 主席 以色列 晚 停火 驱逐 勒斯坦 哈马斯 安南 拉姆安拉 来访 特 阿巴斯 阿拉法 马晓霖 开罗"	1	"power_office_13945102-n"
"利用 犯罪 便 之 开除 他人 监督 其 依法 军官 人员 等 ; 执行 司法 预防 机关 相关 调整 党籍"	2	"power_office_13945102-n"
"权力 伊拉克 国家 国会 没有 政治 分配 职位 中共 将 赋予 使 出现 真空 罢免 总统 把 个 政府 宪法"	3	"power_office_13945102-n"
"辞去 瓦希德 党主席 田北俊 董事 行政 之后 李远哲 经济部 自称 总统 辞职 他 议员 长 NA NA NA NA NA"	4	"power_office_13945102-n"
"担任 部长 免去 出任 任 书记 副部长 任命 总理 卸下 接任 他 主任 任职 司法部 接替 继续 角逐 为 事务"	5	"power_office_13945102-n"
"年终 发放 村里长 月 员工 薪资 过年 公教 工程款 奖金 及 考绩 拿到 春节 七十三亿 中广 二月 修法 县市 年关"	1	"prize_13268146-n"
"美元 元 选手 获得 冠军 赢得 累积 高 公开赛 组 获 约 号码 巡回赛 比赛 万 中奖 百万 1万 幸运奖"	2	"prize_13268146-n"
"个 最佳 最 这 两 奖项 奖 等 主角 今年 电视 颁奖 受 女 每 由 届 电影 乐龄 优秀"	3	"prize_13268146-n"
"丰富 抽奖 赢取 奖品 参加 奖励 工资 破案 包括 幸运 月饼 钻石 总值 机会 检举 现金 公务员 所有 中油 即"	4	"prize_13268146-n"
"中 在 发展 重要 重建 免疫 审理 纳米科 遇到 学习 发生 发现 扮演 改革 角色 NA NA NA NA NA"	1	"process_01023820-n"
"办理 简化 完成 程序 规定 审批 委员会 法律 申请 严格 司法 立法院 按 立法 经 讨论 作业 是否 有关 根据"	2	"process_01023820-n"
"个 整 全 生产 制作 拍摄 出现 需要 分钟 痛苦 经历 分解 和平 小时 干净 整合 淮河 计票 软件 非常"	3	"process_01023820-n"
"大学 教授 学院 研究所 台湾 表示 医学院 研究 学 指出 台大 暨 国立 公共 学系 接受 清华大学 院长 则 说"	1	"professor_10480730-n"
"说 许通美 医院 医生 在职 实验 萨扬 贾古玛 国小 陈 临床 分析 合唱团 复制 大使 孩童 安排 巡回 徐 杨焕明"	2	"professor_10480730-n"
"老师 她 家长 们 同学 当 补习 我 你 孩子 ？ 岁 老 我们 ！ 让 女 为什么 想 舞蹈"	3	"professor_10480730-n"
"教师 学生 学校 小学 中小学 校长 教学 课程 中学 培训 资格 素质 指导 专业 提高 英文 队伍 教 教育 制度"	4	"professor_10480730-n"
"《 》 表演 演出 方言 精彩 观众 安排 华语 看 喜欢 排练 演 讲 艺人 乐 话 集 晚上 晚会"	1	"program_broadcast_06619428-n"
"主持人 综艺 」 主持 「 制作 播出 电视台 新闻 时段 节目 生活 卫星 兼 台视 女人 电视法 中 NA NA"	2	"program_broadcast_06619428-n"
"电视 设施 覆盖 村 村通 管理 网 边境 广播 媒体 传媒 公众 大学 自然村 覆盖率 雅典 听 看 NA NA"	3	"program_broadcast_06619428-n"
